Run,BioSample,SampleName,LibraryName,LibraryStrategy,LibrarySource,LibraryLayout,Platform,Model,spots,bases,avgLength,size_MB,download_path
SRR19607159,SAMN28950127,HTP_6_28_2020_amplicon,HTP_6_28_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,10480220,3165026440,302,997,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19607/SRR19607159/SRR19607159.lite.1
SRR19607161,SAMN28950126,HTP_6_27_2021_enriched,HTP_6_27_2021_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,7637190,1542712380,202,460,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19607/SRR19607161/SRR19607161.lite.1
SRR19607165,SAMN28950125,HTP_6_24_2021_enriched,HTP_6_24_2021_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2311101,466842402,202,141,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19607/SRR19607165/SRR19607165.lite.1
SRR19607167,SAMN28950124,HTP_6_24_2021_amplicon,HTP_6_24_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,13089192,3952935984,302,1264,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19607/SRR19607167/SRR19607167.lite.1
SRR19607148,SAMN28950132,HTP_6_8_2021_amplicon,HTP_6_8_2021_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,12379923,3738736746,302,1203,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19607/SRR19607148/SRR19607148.lite.1
SRR19607151,SAMN28950131,HTP_6_7_2020_amplicon,HTP_6_7_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,10907521,3294071342,302,1042,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19607/SRR19607151/SRR19607151.lite.1
SRR19607153,SAMN28950130,HTP_6_6_2021_enriched,HTP_6_6_2021_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,945857,191063114,202,58,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19607/SRR19607153/SRR19607153.lite.1
SRR19607155,SAMN28950129,HTP_6_3_2021_enriched,HTP_6_3_2021_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2376821,480117842,202,145,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19607/SRR19607155/SRR19607155.lite.1
SRR19607157,SAMN28950128,HTP_6_29_2020_amplicon,HTP_6_29_2020_amplicon,AMPLICON,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,11157458,3369552316,302,1089,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19607/SRR19607157/SRR19607157.lite.1
SRR19607138,SAMN28950136,HTP_7_1_2021_enriched,HTP_7_1_2021_enriched,Targeted-Capture,METATRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,2833070,572280140,202,171,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19607/SRR19607138/SRR19607138.lite.1
